# Depth-area regression over ND dprst sample (issue #173 Task 7). Project=ND_3DEPProcessing_D22. n_sampled=731, n_usable=731 (626 non-flat / 105 flat). mean_depth_m = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (_interior_mask). flat = is_hydroflattened verdict (cached from --flatness when available, else computed fresh) -- flat polygons are EXCLUDED from all fits (their measured depth is ~freeboard, not real bed depth; see Task 5). PLAYA-ANCHORED large-area extrapolation is DEFERRED (only 1 Playa polygon in the ND study area) -- see the run log for the full extrapolation-risk caveat.
COMID,FTYPE,area_m2,mean_depth_m,flat,n_interior_cells,resolution
21542864,SwampMarsh,358961.5213550875,0.0,True,355885,1m
14824783,SwampMarsh,300177.9763005005,1.5931126483350805e-05,False,300007,1m
14293129,SwampMarsh,361117.5256901504,0.8223150435754313,False,360639,1m
14826537,SwampMarsh,84486.0860291764,8.319242750876527e-05,False,84424,1m
14292997,SwampMarsh,1336385.528216778,0.0,True,1334672,1m
14826107,SwampMarsh,338912.47043401736,0.5790856321211244,False,338693,1m
6690543,SwampMarsh,1171343.2819640806,0.28313643515987946,False,1169037,1m
14825071,SwampMarsh,2278496.4718784676,6.622489763835717e-08,False,2264917,1m
14292887,SwampMarsh,2753926.6183025385,1.0599255636531919e-06,False,2719192,1m
21529442,SwampMarsh,277459.7522144521,0.0,False,277601,1m
14679190,SwampMarsh,314737.37642430817,0.0,True,314452,1m
14826155,SwampMarsh,50102.24774357797,0.06552096176596849,False,50083,1m
14680276,SwampMarsh,222031.73464028223,4.4357382188543137e-07,False,223185,1m
14292941,SwampMarsh,1934906.70597508,0.17807337732152384,False,1910437,1m
14678050,SwampMarsh,148827.58253963487,2.8635287435327896e-06,False,147668,1m
14827309,SwampMarsh,292845.8930978388,0.699729815462488,False,292786,1m
14273898,SwampMarsh,2457338.2084108363,0.20218020812994464,False,2427618,1m
14825803,SwampMarsh,134656.9690939911,0.3757708997421666,False,134583,1m
14678248,SwampMarsh,523571.46588477213,2.9324806498939856e-06,False,523043,1m
14745110,SwampMarsh,63545.689369411615,0.0,True,63471,1m
14292921,SwampMarsh,343458.20013855223,3.1158829668230685e-05,False,343081,1m
14685032,SwampMarsh,648018.4693051963,0.0,False,647493,1m
14293695,SwampMarsh,324167.03205340245,0.6442383603625635,False,327115,1m
14678064,SwampMarsh,264734.6288882231,0.0006736820942536034,False,264469,1m
14438934,SwampMarsh,337123.2234028582,0.6530514512773793,False,336979,1m
14828483,SwampMarsh,3314616.940625313,0.22680757844165733,False,3322055,1m
14299939,SwampMarsh,763642.0207193774,1.4935332086270203,False,762859,1m
14678988,SwampMarsh,323480.5620954562,0.0,True,320909,1m
14425880,SwampMarsh,115461.86871828993,0.03369383575190213,False,115463,1m
14828489,SwampMarsh,1616815.277814712,0.03925955533887516,False,1616436,1m
14411667,SwampMarsh,462835.9346260639,0.4861427100329353,False,462118,1m
