range,std,n_unique,flat,COMID,FTYPE,n_cells,resolution
4.88800048828125,0.8836538172710015,4083,False,14825613,SwampMarsh,101358,1m
2.037994384765625,0.24540866005870254,1964,False,14432161,SwampMarsh,498439,1m
1.881011962890625,0.08986147423533318,990,False,14825925,SwampMarsh,380909,1m
5.61798095703125,0.4479926590519076,4791,False,14684932,SwampMarsh,577746,1m
3.27099609375,0.4866284425376336,2775,False,14826605,SwampMarsh,101539,1m
4.26397705078125,0.29244089584419464,3009,False,14678052,SwampMarsh,610703,1m
6.053955078125,1.0393708623488762,5818,False,21541422,SwampMarsh,285973,1m
5.17999267578125,1.021039191098154,4957,False,21541456,SwampMarsh,259293,1m
0.381011962890625,0.0027380188704795487,77,False,14746988,SwampMarsh,479548,1m
2.095001220703125,0.33429030389905295,1994,False,14825859,SwampMarsh,52559,1m
1.694000244140625,0.3774960844264227,1625,False,14432147,SwampMarsh,51033,1m
3.298004150390625,0.33973732653704003,2725,False,14425924,SwampMarsh,179851,1m
0.0,0.0,1,True,14827335,SwampMarsh,399118,1m
1.98699951171875,0.21485186491794792,1639,False,14826145,SwampMarsh,260858,1m
7.4580078125,0.32230575735035816,2482,False,14678976,SwampMarsh,261193,1m
0.0,0.0,1,True,14438802,SwampMarsh,100944,1m
2.78497314453125,0.2344218367358735,2527,False,14293729,SwampMarsh,1042074,1m
0.0,0.0,1,True,14745096,SwampMarsh,301218,1m
2.175018310546875,0.2313836000696126,2071,False,14826645,SwampMarsh,1130197,1m
1.90399169921875,0.31088286998198345,1847,False,21542734,SwampMarsh,265141,1m
2.928009033203125,0.1247920236913857,1414,False,14293517,SwampMarsh,253793,1m
0.0,0.0,1,True,14293025,SwampMarsh,196981,1m
0.0,0.0,1,True,21542848,SwampMarsh,442624,1m
4.78204345703125,0.300672304636706,3211,False,14745106,SwampMarsh,309344,1m
1.19598388671875,0.2120009495961613,1119,False,14293469,SwampMarsh,143874,1m
4.261993408203125,0.40751659473732477,4225,False,14750364,SwampMarsh,2138370,1m
4.094970703125,0.3005653124972127,2702,False,14745116,SwampMarsh,220676,1m
4.915985107421875,0.4732841455249186,4554,False,14293093,SwampMarsh,513551,1m
2.977020263671875,0.0867981939455129,1424,False,14273906,SwampMarsh,353177,1m
0.0,0.0,1,True,14745776,SwampMarsh,2417646,1m
4.686981201171875,0.6170738456198485,4425,False,6680896,SwampMarsh,291891,1m
5.531982421875,0.7644741377586811,4897,False,14292581,SwampMarsh,219917,1m
1.74798583984375,0.09916355669919916,1510,False,14293055,SwampMarsh,654659,1m
1.714996337890625,0.08175904237839092,974,False,14826163,SwampMarsh,144565,1m
2.2550048828125,0.31577090977046024,1825,False,14825723,SwampMarsh,47333,1m
4.9300537109375,0.41201194943902547,3751,False,14678080,SwampMarsh,249197,1m
0.0,0.0,1,True,14680476,SwampMarsh,243149,1m
5.821990966796875,0.5347609223457965,5166,False,6690545,SwampMarsh,512286,1m
0.0,0.0,1,True,14678964,SwampMarsh,256456,1m
6.0870361328125,0.6040346009311293,5382,False,120054378,SwampMarsh,578140,1m
4.97100830078125,0.062279926962796904,988,False,14679350,SwampMarsh,770203,1m
3.2130126953125,0.0711790125265368,1763,False,14677920,SwampMarsh,958881,1m
12.90802001953125,0.6807655914177146,1829,False,14747076,SwampMarsh,126862,1m
0.0,0.0,1,True,14825445,SwampMarsh,251305,1m
0.63201904296875,0.10710023852390325,606,False,14826281,SwampMarsh,79024,1m
0.0,0.0,1,True,14439648,SwampMarsh,945359,1m
3.4229736328125,0.269746949991099,2630,False,21527834,SwampMarsh,477555,1m
2.25994873046875,0.33711686088654913,2229,False,14684440,SwampMarsh,796145,1m
0.0,0.0,1,True,14678030,SwampMarsh,209704,1m
5.13201904296875,0.8448433127885232,4680,False,14826477,SwampMarsh,143938,1m
2.805023193359375,0.143018704142151,1583,False,14439620,SwampMarsh,209652,1m
0.860992431640625,0.08511326897584584,758,False,14825983,SwampMarsh,134727,1m
2.051025390625,0.2014018500606699,1726,False,14825731,SwampMarsh,314162,1m
5.864990234375,0.21478489328009676,1843,False,14678982,SwampMarsh,292426,1m
6.83099365234375,0.9657629565762383,6676,False,14438720,SwampMarsh,825919,1m
5.59600830078125,0.24586067955953808,2803,False,14299921,SwampMarsh,308318,1m
0.0,0.0,1,True,14438828,SwampMarsh,98182,1m
3.09100341796875,0.4769624274394144,2981,False,14438738,SwampMarsh,198789,1m
2.480987548828125,0.18131465599833205,1970,False,14432221,SwampMarsh,380205,1m
8.787994384765625,0.7130891151258841,6336,False,14274008,SwampMarsh,677366,1m
1.64300537109375,0.2073246789817105,1364,False,14438848,SwampMarsh,188859,1m
0.0,0.0,1,True,14745104,SwampMarsh,219467,1m
3.56500244140625,0.4809702278104429,3236,False,14438690,SwampMarsh,348500,1m
0.639984130859375,0.011595963389957173,320,False,14439618,SwampMarsh,743985,1m
0.0,0.0,1,True,14826271,SwampMarsh,502639,1m
0.0,0.0,1,True,14293001,SwampMarsh,193267,1m
1.56097412109375,0.12451554644711901,1396,False,14747014,SwampMarsh,374034,1m
3.540008544921875,0.5226733672049987,3359,False,12713026,SwampMarsh,298681,1m
1.920989990234375,0.08128574084306009,1413,False,14438794,SwampMarsh,390781,1m
0.0,0.0,1,True,14678972,SwampMarsh,1849753,1m
0.0,0.0,1,True,14293631,SwampMarsh,235128,1m
0.0,0.0,1,True,14745454,SwampMarsh,1515865,1m
0.0,0.0,1,True,14678962,SwampMarsh,226942,1m
0.0,0.0,1,True,14745114,SwampMarsh,331806,1m
0.0,0.0,1,True,14678992,SwampMarsh,342020,1m
1.813995361328125,0.04733786566842795,869,False,21542756,SwampMarsh,504007,1m
2.81396484375,0.3101035541105198,2161,False,14677958,SwampMarsh,255476,1m
0.0,0.0,1,True,14678994,SwampMarsh,192443,1m
0.72100830078125,0.0683183775802206,672,False,14684474,SwampMarsh,531612,1m
2.3909912109375,0.2348250700289242,2136,False,14432163,SwampMarsh,584868,1m
2.253997802734375,0.21062325620364278,1678,False,14438764,SwampMarsh,220836,1m
0.0,0.0,1,True,14678986,SwampMarsh,450758,1m
7.64599609375,0.23811041770513497,4189,False,12713024,SwampMarsh,1181138,1m
5.4840087890625,0.5126177583499225,5014,False,21542856,SwampMarsh,672689,1m
