# Hollister/lakeMorpho terrain-slope max-depth prototype over an ND LakePond sample (issue #173 Task 6). Project=ND_3DEPProcessing_D22. n_sampled=300, n_usable=300. max_depth_m = lake_max_depth() (mean shoreline-ring slope x max in-polygon distance-to-shore, over the polygon interior via _interior_mask). mean_depth_m = max_to_mean(max_depth_m, shape='cone') = max_depth_m / 3 -- documented assumption (V/A of a cone), NOT field-calibrated in this spike; no bathymetry survey was available to fit the factor empirically. Cross-check: NHM's calibrated dprst_depth_avg median is ~49 in (docs/superpowers/... nhm_dprst_params_are_calibrated) -- compare against mean_depth_in below, but this spike does not block on matching it.
COMID,FTYPE,area_km2,max_depth_m,mean_depth_m,mean_depth_in,n_interior_cells,resolution
14414271,LakePond,0.013335729296303491,0.9999181787383442,0.33330605957944803,13.122292896248828,13333,1m
14158702,LakePond,0.03132769665753579,1.3442006820119565,0.44806689400398547,17.64043842362631,31308,1m
14433127,LakePond,0.00761714187374508,0.0,0.0,0.0,7613,1m
14268390,LakePond,0.05326120694080325,0.0,0.0,0.0,53648,1m
14413467,LakePond,0.016863582752391068,1.5367860197943746,0.5122620065981248,20.167806425968834,16866,1m
14827131,LakePond,0.014273965834387628,3.1755853049979628,1.058528434999321,41.674370338766764,14203,1m
14666287,LakePond,0.013760174312305463,0.12717383381696526,0.04239127793898842,1.668948851585768,13757,1m
14825703,LakePond,0.01270040833642185,0.9892292374947768,0.32974307916492557,12.982018001031037,12675,1m
12571772,LakePond,0.0335883857652281,3.406426411491457,1.1354754704971524,44.70378282101994,33553,1m
14161318,LakePond,0.03061620149424753,2.0157776729449615,0.6719258909816538,26.45378952053681,30572,1m
14520223,LakePond,0.030960877043388336,3.4519307332865945,1.1506435777621982,45.30095272085552,30931,1m
14291183,LakePond,0.017484261868275095,1.6754092436809316,0.5584697478936438,21.987009821547545,17477,1m
14286313,LakePond,0.021173647611909204,1.2643152902016777,0.42143843006722587,16.59207313558969,21124,1m
14747850,LakePond,0.09883452841114583,1.4150840372078466,0.4716946790692822,18.570666684425547,98754,1m
14157794,LakePond,0.07836184645251953,1.3865134630463607,0.46217115434878686,18.195724563827174,78247,1m
14277966,LakePond,0.16546834510941905,0.9899981064527609,0.32999936881758696,12.992108150285281,165285,1m
14292013,LakePond,0.0366377602815633,2.8330243393990866,0.9443414464663622,37.178817181525325,36614,1m
11468184,LakePond,0.02233706288011031,2.1347567084490606,0.7115855694830202,28.015195029103456,22319,1m
12572460,LakePond,0.03323476055588166,1.8590503628691424,0.619683454289714,24.396999563731473,33203,1m
12570468,LakePond,0.038512007807797476,2.0247509243203874,0.6749169747734625,26.571548788528695,38469,1m
14745884,LakePond,1.5236739186042862,0.10692796437273898,0.03564265479091299,1.4032548833837235,1522423,1m
14827205,LakePond,0.03703904736781705,2.5950418354529883,0.865013945150996,34.05568552198923,37027,1m
14276078,LakePond,0.08469796013029679,4.911492774858881,1.6371642582862935,64.45532056515721,84594,1m
14048167,LakePond,0.05057949632771931,5.819559909208091,1.9398533030693637,76.37221852717116,50521,1m
14745580,LakePond,0.023017188778121016,1.9309897029760006,0.6436632343253335,25.34108590171181,23000,1m
14295291,LakePond,0.015056092202028163,0.9040025388771785,0.3013341796257262,11.863556785282801,14875,1m
14295513,LakePond,0.044597016133612416,2.996982583126364,0.9989941943754547,39.33050133198109,44574,1m
14286153,LakePond,0.02323116972663718,1.3710176448767146,0.45700588162557154,17.992367260186914,23196,1m
14289215,LakePond,0.015690486347109033,1.202409164314895,0.4008030547716317,15.779656346664618,15680,1m
14413623,LakePond,0.02383445396682251,1.9615388213859022,0.6538462737953007,25.741993183948367,23813,1m
14292477,LakePond,0.03538631011734988,0.45404244387811543,0.15134748129270514,5.958565473241931,35340,1m
14413047,LakePond,0.03966689045445567,2.4904008803862485,0.8301336267954161,32.68244390029821,40217,1m
14299041,LakePond,0.022979980533991612,1.3382739707573488,0.4460913235857829,17.562660018704634,22958,1m
14679332,LakePond,0.027217814985367024,4.0041077181808955,1.334702572726965,52.547373758517885,27189,1m
14412929,LakePond,0.01054051302583981,7.373918710311154,2.457972903437051,96.77063900560705,10536,1m
6675322,LakePond,0.2698027857125014,0.0,0.0,0.0,269801,1m
14291099,LakePond,0.0242909604489344,2.4098973545434292,0.8032991181811431,31.625966612703422,24269,1m
11461010,LakePond,0.00557197488435656,0.19574830374924027,0.06524943458308008,2.568876764479321,5571,1m
